Time,friction_velocity:surface:m_s-1,kinematic_sensible_heat_flux:surface:K_m_s-1,kinematic_latent_heat_flux:surface:g_kg-1_m_s-1
2023/1/1 0:00,0.2858826059628504,-0.02023912,0.019683227960546827
2023/1/1 0:30,0.2923147413670879,-0.001661902,0.008726176534131604
2023/1/1 1:00,0.3265490669840698,-0.004441187,0.0256362950879554
2023/1/1 1:30,0.5908738286043679,-0.097555399,0.11562361447216028
2023/1/1 2:00,0.30622592484061706,-0.174754999,-0.067693167
2023/1/1 2:30,0.2846049782061799,-0.0057299,0.015959979758680024
2023/1/1 3:00,0.3767335248140437,-0.007471108,0.01155300359969806
2023/1/1 3:30,0.4248202365562971,-0.009337706,0.003994839147537592
2023/1/1 4:00,0.3261174821091368,-0.03841591,-0.003330937
2023/1/1 4:30,0.40899546990374297,-0.04788414,0.021496442335134203
2023/1/1 5:00,0.41673564752495557,-0.051440004,0.015257208169360329
2023/1/1 5:30,0.2405570243707556,-0.022583309,0.00875253475588515
2023/1/1 6:00,0.2505105812746344,0.006542805339213598,-0.007937325
2023/1/1 6:30,0.06374085598322003,-0.001065805,-0.004008675
2023/1/1 7:00,0.4602718138213012,0.09588924953904637,0.11662308056161139
2023/1/1 7:30,0.2471683695893816,0.08941764157333999,-0.018192619
2023/1/1 8:00,0.17315223633755647,0.036765332209532084,0.009358094650304027
2023/1/1 8:30,0.23436677945157375,0.08502378131968444,0.04557577495040009
2023/1/1 9:00,0.4149119998828,0.15441618261935847,0.07942714521605454
2023/1/1 9:30,0.5086745394863443,0.25015934208630497,0.11517467517064792
2023/1/1 10:00,0.4165238704522629,0.2510117515464494,0.10303294835585336
2023/1/1 10:30,0.4065386433029981,0.25205983925905034,0.09645098913592988
2023/1/1 11:00,0.266367900392227,0.2518100476958995,0.10146082495182032
2023/1/1 11:30,0.2842206982157589,0.20437169385532591,0.07609488996544145
2023/1/1 12:00,0.3445609789870169,0.25266551382089547,0.11836181248773361
2023/1/1 12:30,0.40743071314139645,0.25311174912771417,0.09964900836359143
2023/1/1 13:00,0.28532471098670076,0.24028942623598387,0.050793009945947015
2023/1/1 13:30,0.4104249344380946,0.2239287992261637,0.05225298077374761
2023/1/1 14:00,0.36838191055041697,0.08371123198090455,0.015629302701744077
2023/1/1 14:30,0.4066790725749124,0.071225320848348,-0.001940139
2023/1/1 15:00,0.3008781202811304,0.041350925080295635,0.03329197716471551
2023/1/1 15:30,0.21031995526642713,-0.003282043,0.000408302676459143
2023/1/1 16:00,0.32415849391526486,-0.024361042,0.01573760017942243
2023/1/1 16:30,0.41690483231401165,-0.030101174,0.024373971859275985
2023/1/1 17:00,0.3099756898796714,-0.005106084,0.007205977641219602
2023/1/1 17:30,0.19169291830980692,0.026446448369946963,-0.014447265
2023/1/1 18:00,0.3705981467132345,-0.062986424,0.010345666222075868
2023/1/1 18:30,0.33397733322553624,-0.033392854,-0.00513316
2023/1/1 19:00,0.3042497439670373,-0.036645982,0.0029598399130238815
2023/1/1 19:30,0.16885294734180795,-0.022142169,0.0024119007532598124
2023/1/1 20:00,0.23359180403602878,-0.031987768,0.005854389145355197
2023/1/1 20:30,0.16526630353375252,-0.018365148,0.015686132936663485
2023/1/1 21:00,0.1336494005117729,-0.003212478,0.009565549950695217
2023/1/1 21:30,0.23117901013011985,-0.00287805,-0.045555697
2023/1/1 22:00,0.2865028480885315,-0.005238393,-0.068784749
2023/1/1 22:30,0.10260638337346992,-0.001236442,-0.000235138
2023/1/1 23:00,0.25303539446674106,-0.003952762,0.008840055286953825
2023/1/1 23:30,0.14314859958448475,0.0028780324415958645,-0.01990558
2023/1/2 0:00,0.07630623865732622,0.0015303495480988674,-0.009572374
2023/1/2 0:30,0.1342891465429245,0.0037211589806372546,-0.016136476
2023/1/2 1:00,0.1655388010367431,0.004164651244860267,-0.012834554
2023/1/2 1:30,0.21756528268759867,0.001095862546800985,-0.008934745
2023/1/2 2:00,0.10049163694363357,-0.000398112,0.0034079736355483742
2023/1/2 2:30,0.08269985293512559,0.00033412508959248805,0.000639473819881756
2023/1/2 3:00,0.26211289308884606,0.020732318008188685,-0.022220134
2023/1/2 3:30,0.15665883952284132,0.0008085806033038123,0.002318280168692359
2023/1/2 4:00,0.21220334315400194,-0.020132016,0.020075419881863718
2023/1/2 4:30,0.20836848507975045,0.020610165746436586,-0.033543062
2023/1/2 5:00,0.11966871597381416,-0.009850236,0.014079005202380545
2023/1/2 5:30,0.3140881807890268,-0.003939524,0.01376292723926833
2023/1/2 6:00,0.13957375652207762,0.038965216333471414,0.029730495806656917
2023/1/2 6:30,0.24277584419224355,0.1589697902103051,0.07140756477872835
2023/1/2 7:00,0.3100079046858568,0.2298649062979069,0.05077752077426023
2023/1/2 7:30,0.2578743419485825,0.25184048357168437,0.053485678131401614
2023/1/2 8:00,0.3265015156998017,0.2517045156263737,0.018323912497737457
2023/1/2 8:30,0.30086373409355627,0.2523399785410618,0.10222581229690733
2023/1/2 9:00,0.20662160132863513,0.25305972535195853,0.0665994996377893
2023/1/2 9:30,0.2684240568164705,0.25310299817837584,0.07963304750456471
2023/1/2 10:00,0.20239462547154016,0.2534698738443447,0.09184382470748757
2023/1/2 10:30,0.23609923792458193,0.25405470776450145,0.0576113605121444
2023/1/2 11:00,0.3470537844513449,0.2543966310231907,0.051760713933586576
2023/1/2 11:30,0.267128634970749,0.25459629225978664,0.05177228551043621
2023/1/2 12:00,0.4607473999608279,0.2545271524966948,0.06312231365176155
2023/1/2 12:30,0.14700320610241996,0.2552385221554262,0.06523983568648452
