Time,relative_humidity:%,Water_Content:m3_m-3,Lwout:W_m-2,temperature:K,u_wind:m_s-1,v_wind:m_s-1,pressure:hPa,potential_temperature:K,temperature_scale:surface:K
2023/1/1 0:00,99.16809,0.1975731,359.3877,274.17502299999995,-1.255254072,0.8027684696602256,895.0109,283.0031206282235,0.07079521406719479
2023/1/1 0:30,99.24163,0.1975784,358.9958,274.17155699999995,-1.477813498,1.0776401375992626,894.7344,283.02452753313827,0.005685317222293242
2023/1/1 1:00,99.45346,0.1975713,358.9778,274.16801899999996,-1.388821787,1.2417499920747306,894.5327,283.03910690612673,0.013600365770630129
2023/1/1 1:30,99.49831,0.1975775,358.7737,274.16446199999996,-1.136642673,0.21066426746892275,894.5054,283.03790282897495,0.1651036038219643
2023/1/1 2:00,99.49866,0.1975724,358.9255,274.16092799999996,-1.775007295,0.4922530887361494,894.2637,283.05610890998895,0.5706734308143894
2023/1/1 2:30,99.49854,0.1975701,358.7271,274.15743799999996,-1.531166024,0.7835372404416467,893.8992,283.0854776322318,0.0201328165191272
2023/1/1 3:00,99.49841,0.1975711,358.6714,274.15400999999997,-0.975445145,0.7377233690124803,893.8506,283.0863355099529,0.019831279185387945
2023/1/1 3:30,99.49706,0.1975638,358.9275,274.150649,-0.108789247,0.8611555607409668,893.9098,283.0775084704031,0.02198036941456315
2023/1/1 4:00,99.49834,0.1975711,359.097,274.14736039999997,-0.96659224,0.7178547494586013,894.0106,283.06499336226113,0.1177977638194927
2023/1/1 4:30,99.49809,0.1975593,358.5971,274.1441552,-1.354757981,0.9206925729217896,893.9929,283.0632851147768,0.11707743448969936
2023/1/1 5:00,98.80854,0.1975677,354.4294,274.1410588,-1.594016041,0.3856330654882476,893.8558,283.07249183340747,0.12343557396022546
2023/1/1 5:30,91.10396,0.1975689,352.0809,274.13807499999996,-1.616174273,0.4695420314640226,893.9127,283.06426266337405,0.09387923341346134
2023/1/1 6:00,88.73796,0.1975745,351.748,274.13509259999995,-1.646190735,0.7993472727128951,894.0211,283.0513766861732,-0.02611788
2023/1/1 6:30,82.71794,0.1975736,353.5005,274.13183949999996,-1.045592096,0.8898686241596788,894.5069,283.004088897337,0.01672091115919119
2023/1/1 7:00,76.88193,0.1975753,359.0772,274.12808049999995,0.7111193465573488,-0.458285146,894.968,282.9585418112487,-0.208331787
2023/1/1 7:30,74.52926,0.1975639,368.131,274.1237877,0.4778618850760819,0.08856646538918367,895.369,282.91789812334576,-0.361768141
2023/1/1 8:00,73.22232,0.1975443,377.9717,274.1191649,-0.32216999,-1.106033678,895.7794,282.87608775097584,-0.212329526
2023/1/1 8:30,87.24679,0.1975245,384.3896,274.11463069999996,1.1679483033948477,-0.704551461,896.2873,282.8256008546037,-0.362780858
2023/1/1 9:00,92.25124,0.1975113,384.5024,274.11091669999996,1.9073135480173344,-1.350453268,896.5278,282.8000899050491,-0.372166104
2023/1/1 9:30,86.08958,0.1974777,387.9146,274.1091618,1.7677822394994056,-0.94390781,896.5817,282.79342182945436,-0.491786639
2023/1/1 10:00,78.21989,0.1974206,393.6147,274.11038179999997,2.2595374704844478,-0.592778559,896.6237,282.7908956236946,-0.602634733
2023/1/1 10:30,74.32056,0.1973811,401.8859,274.1149258,2.032242276706297,-0.571237541,896.7002,282.7886901466682,-0.620014465
2023/1/1 11:00,73.60064,0.1973211,413.632,274.1224223,1.680108543556364,-0.390973505,896.7534,282.791630346566,-0.94534682
2023/1/1 11:30,72.70015,0.1972962,421.9738,274.13251199999996,1.940665196195607,-0.200548239,896.6174,282.8142944016864,-0.719059854
2023/1/1 12:00,76.82309,0.1972583,410.5103,274.14462399999996,1.864769919578297,-0.029294147,896.1967,282.8647170224017,-0.733296947
2023/1/1 12:30,76.3508,0.1972336,410.7625,274.157583,1.2479182516103913,-0.235796602,895.9713,282.8984189143615,-0.621238755
2023/1/1 13:00,73.55244,0.1972088,416.5623,274.17069,1.6369714038154528,0.15185724576214754,895.8749,282.92064133418984,-0.842161288
2023/1/1 13:30,68.92184,0.1971529,421.2646,274.183922,1.566175558907924,-0.109517664,895.6371,282.95575692950075,-0.545602327
2023/1/1 14:00,62.76006,0.1971173,431.2279,274.19693099999995,1.0458483664718397e-16,1.708,895.644,282.9685592666358,-0.227240344
2023/1/1 14:30,61.29331,0.197068,427.1888,274.209382,-1.122082047,1.5444134422617748,895.4697,282.9971450053847,-0.175138889
2023/1/1 15:00,63.06425,0.1970413,414.3835,274.22115399999996,-0.529913746,1.4799916964445237,895.105,283.0422348506996,-0.137434138
2023/1/1 15:30,61.19903,0.1970122,411.9654,274.23220799999996,0.016065356098349692,1.3149018611034944,895.0212,283.0612161938612,0.015605002805002507
2023/1/1 16:00,64.54102,0.1969818,415.3242,274.242208,-0.931069883,1.1375451082979637,895.2548,283.0504326878611,0.07515163732467003
2023/1/1 16:30,69.15506,0.1969623,404.182,274.250862,-0.662043444,0.9852245824082013,894.7534,283.10467563122535,0.07220154790677907
2023/1/1 17:00,67.618,0.196932,396.2146,274.258245,-1.125756374,0.7737109196393217,894.7128,283.1159674880805,0.016472529874237227
2023/1/1 17:30,65.98495,0.1969485,388.7873,274.264476,-1.319443524,0.38333377969790083,894.6923,283.12425318896777,-0.137962574
2023/1/1 18:00,64.92659,0.1969538,383.6925,274.26946499999997,-1.661094699,-1.451619923,894.7221,283.12670902616037,0.16995882110515745
2023/1/1 18:30,62.35454,0.1969461,383.4274,274.272965,-2.173772844,-1.483959441,894.7881,283.1243550896375,0.09998539165405533
